SEX,AGE,UNIT,DESIGNATION,PAST EXP,RATINGS,DOJ,CURRENT DATE,years_experience,SALARY
Female,52,IT,Senior Manager,0,3,2022-10-06,2024-07-01,1.7,79110.0
Female,31,IT,Senior Manager,7,5,2010-10-28,2024-07-01,13.7,123750.0
Male,45,Finance,Executive,8,5,2016-09-28,2024-07-01,7.8,82810.0
Female,53,Finance,Senior Analyst,5,2,2018-03-13,2024-07-01,6.3,64860.0
Female,58,Sales,Analyst,9,5,2015-08-11,2024-07-01,8.9,68950.0
Male,28,Operations,Senior Analyst,4,2,2021-10-11,2024-07-01,2.7,51180.0
Female,31,IT,Manager,5,5,2014-09-09,2024-07-01,9.8,97440.0
Male,42,Sales,Manager,5,1,2023-12-21,2024-07-01,0.5,65840.0
Female,44,IT,Senior Analyst,8,2,2010-08-03,2024-07-01,13.9,79980.0
Female,37,Operations,Analyst,3,2,2023-11-04,2024-07-01,0.7,40450.0
Male,32,Marketing,Analyst,1,4,2015-02-25,2024-07-01,9.4,54500.0
Male,52,Finance,Executive,8,5,2022-01-23,2024-07-01,2.4,74100.0
Female,35,Sales,Senior Analyst,1,5,2012-02-02,2024-07-01,12.4,73920.0
Female,36,IT,Senior Analyst,9,2,2011-01-18,2024-07-01,13.5,78540.0
Female,42,HR,Analyst,8,1,2014-06-16,2024-07-01,10.0,58400.0
Female,48,Marketing,Analyst,1,1,2013-05-31,2024-07-01,11.1,54250.0
Male,40,HR,Executive,7,1,2015-09-21,2024-07-01,8.8,71760.0
Male,53,IT,Senior Analyst,8,5,2012-06-03,2024-07-01,12.1,86100.0
Female,30,HR,Manager,9,4,2014-02-20,2024-07-01,10.4,101760.0
Male,52,Marketing,Analyst,8,2,2016-01-19,2024-07-01,8.5,60150.0
Female,53,IT,Senior Analyst,9,3,2016-03-30,2024-07-01,8.3,75660.0
Female,22,IT,Analyst,8,4,2014-05-31,2024-07-01,10.1,60550.0
Female,53,Sales,Manager,1,3,2014-03-03,2024-07-01,10.3,92880.0
Male,53,Marketing,Analyst,3,4,2011-11-24,2024-07-01,12.6,65500.0
Female,33,IT,Analyst,6,1,2011-07-09,2024-07-01,13.0,59100.0
Female,50,IT,Senior Analyst,1,5,2013-05-07,2024-07-01,11.2,75360.0
Female,53,IT,Executive,0,3,2014-12-01,2024-07-01,9.6,72800.0
Female,33,IT,Analyst,2,4,2017-08-24,2024-07-01,6.9,51950.0
Male,46,HR,Senior Manager,3,5,2020-01-20,2024-07-01,4.4,96840.0
Female,42,Sales,Analyst,7,3,2023-04-18,2024-07-01,1.2,48200.0
Female,59,Sales,Analyst,5,2,2021-09-19,2024-07-01,2.8,50000.0
Male,22,Finance,Analyst,1,4,2015-09-19,2024-07-01,8.8,51600.0
Male,58,IT,Analyst,8,2,2017-05-02,2024-07-01,7.2,59400.0
Male,59,Marketing,Senior Analyst,1,1,2014-04-13,2024-07-01,10.2,66120.0
Male,46,HR,Analyst,4,2,2013-11-04,2024-07-01,10.7,58250.0
Male,35,Operations,Analyst,3,2,2016-05-23,2024-07-01,8.1,51150.0
Female,54,Finance,Executive,6,4,2021-01-15,2024-07-01,3.5,71565.0
Male,31,IT,Analyst,7,1,2021-09-05,2024-07-01,2.8,44400.0
Male,23,Sales,Manager,4,2,2017-04-04,2024-07-01,7.2,77440.0
Female,26,IT,Analyst,9,5,2023-08-02,2024-07-01,0.9,50550.0
Male,29,Sales,Senior Analyst,4,3,2021-11-03,2024-07-01,2.7,53820.0
Female,26,IT,Analyst,1,2,2019-07-16,2024-07-01,5.0,42700.0
Male,29,IT,Analyst,7,1,2013-08-11,2024-07-01,10.9,56150.0
Male,59,Operations,Analyst,1,2,2017-11-30,2024-07-01,6.6,51700.0
Female,51,IT,Analyst,9,3,2018-02-15,2024-07-01,6.4,59800.0
Female,52,Marketing,Analyst,5,1,2015-10-20,2024-07-01,8.7,55450.0
Female,32,IT,Senior Analyst,7,4,2016-07-06,2024-07-01,8.0,70080.0
Female,28,Finance,Executive,5,1,2018-09-05,2024-07-01,5.8,60190.0
Female,28,Sales,Senior Manager,3,4,2018-10-30,2024-07-01,5.7,90270.0
Male,48,Finance,Senior Analyst,3,1,2016-05-03,2024-07-01,8.2,62280.0
Male,40,IT,Analyst,5,3,2022-12-01,2024-07-01,1.6,46400.0
Female,27,IT,Analyst,3,3,2017-01-07,2024-07-01,7.5,50650.0
Female,31,IT,Analyst,7,1,2014-06-09,2024-07-01,10.1,55350.0
Female,40,IT,Analyst,8,2,2013-12-28,2024-07-01,10.5,60750.0
Female,36,Sales,Senior Analyst,0,3,2010-04-20,2024-07-01,14.2,71400.0
Male,24,Operations,Senior Analyst,3,4,2017-07-31,2024-07-01,6.9,61380.0
Female,26,Operations,Analyst,3,4,2014-04-08,2024-07-01,10.2,56500.0
Male,42,Marketing,Analyst,1,5,2011-12-02,2024-07-01,12.6,63300.0
Female,46,Marketing,Senior Manager,5,4,2015-08-03,2024-07-01,8.9,108990.0
Female,23,Sales,Manager,2,5,2010-11-14,2024-07-01,13.6,99200.0
Female,34,IT,Analyst,6,1,2023-02-26,2024-07-01,1.3,41750.0
Female,31,Operations,Executive,4,1,2011-08-18,2024-07-01,12.9,73515.0
Female,38,Sales,Team Lead,3,1,2016-04-25,2024-07-01,8.2,69860.0
Male,32,Finance,Analyst,4,2,2012-09-13,2024-07-01,11.8,57100.0
Female,43,IT,Analyst,7,2,2021-01-30,2024-07-01,3.4,49700.0
Female,32,HR,Senior Analyst,2,5,2012-09-08,2024-07-01,11.8,73320.0
Female,33,HR,Executive,6,4,2022-04-30,2024-07-01,2.2,63570.0
Male,45,Operations,Executive,5,4,2017-03-30,2024-07-01,7.3,75335.0
Female,39,Finance,Analyst,0,1,2023-06-25,2024-07-01,1.0,36300.0
Male,56,IT,Analyst,6,3,2010-02-16,2024-07-01,14.4,69800.0
Male,28,Operations,Senior Analyst,6,2,2020-02-09,2024-07-01,4.4,56640.0
Female,49,IT,Senior Analyst,0,2,2017-05-07,2024-07-01,7.2,59520.0
Male,52,HR,Analyst,8,1,2019-05-26,2024-07-01,5.1,53050.0
Male,38,IT,Executive,5,2,2012-07-04,2024-07-01,12.0,77480.0
Female,26,Sales,Senior Analyst,1,1,2014-10-10,2024-07-01,9.7,57300.0
Female,38,Operations,Senior Manager,4,5,2017-04-30,2024-07-01,7.2,103320.0
Female,39,IT,Executive,3,4,2020-10-06,2024-07-01,3.7,64155.0
Female,42,Operations,Manager,6,3,2014-09-05,2024-07-01,9.8,96160.0
Female,57,IT,Analyst,7,4,2021-10-30,2024-07-01,2.7,55450.0
Male,52,Operations,Senior Analyst,0,4,2020-03-14,2024-07-01,4.3,59820.0
Male,23,Marketing,Analyst,4,5,2010-03-06,2024-07-01,14.3,65050.0
Female,48,Marketing,Senior Analyst,2,2,2015-11-20,2024-07-01,8.6,64200.0
Female,30,IT,Analyst,0,3,2023-07-27,2024-07-01,0.9,38350.0
Female,55,Operations,Senior Analyst,2,2,2015-03-02,2024-07-01,9.3,67140.0
Female,49,Sales,Analyst,5,4,2013-12-01,2024-07-01,10.6,63700.0
Male,35,IT,Analyst,6,1,2016-02-06,2024-07-01,8.4,52600.0
Female,53,Marketing,Analyst,7,4,2010-04-01,2024-07-01,14.3,72050.0
Male,27,IT,Analyst,3,2,2014-07-12,2024-07-01,10.0,52400.0
Female,32,Operations,Manager,2,4,2013-12-24,2024-07-01,10.5,91440.0
Female,50,IT,Manager,4,1,2010-08-28,2024-07-01,13.9,98960.0
Female,41,Sales,Senior Analyst,8,5,2017-12-17,2024-07-01,6.5,73140.0
Male,51,Finance,Analyst,5,2,2020-02-19,2024-07-01,4.4,50800.0
Male,44,IT,Analyst,8,4,2010-11-27,2024-07-01,13.6,70200.0
Male,40,IT,Analyst,5,2,2014-12-03,2024-07-01,9.6,56400.0
Female,57,IT,Analyst,1,5,2018-05-05,2024-07-01,6.2,56700.0
Female,24,HR,Executive,4,4,2012-03-04,2024-07-01,12.3,78325.0
Male,48,IT,Analyst,8,4,2015-06-26,2024-07-01,9.0,64100.0
Male,40,Finance,Analyst,7,2,2013-08-23,2024-07-01,10.9,60350.0
Female,44,IT,Analyst,6,2,2022-03-15,2024-07-01,2.3,47250.0
Male,52,IT,Analyst,0,1,2021-10-21,2024-07-01,2.7,41450.0
Female,56,Sales,Senior Analyst,3,5,2015-01-26,2024-07-01,9.4,75960.0
Female,54,IT,Senior Analyst,6,1,2017-01-20,2024-07-01,7.4,65880.0
Male,56,Operations,Analyst,6,4,2010-08-28,2024-07-01,13.9,71050.0
Male,22,Operations,Analyst,5,2,2020-02-23,2024-07-01,4.4,45000.0
Female,35,Sales,Analyst,7,4,2023-09-08,2024-07-01,0.8,48200.0
Male,54,Finance,Analyst,5,4,2012-04-21,2024-07-01,12.2,67100.0
Male,56,Operations,Analyst,9,3,2015-06-19,2024-07-01,9.0,64700.0
Female,26,IT,Team Lead,2,3,2014-07-19,2024-07-01,10.0,74480.0
Female,59,IT,Senior Analyst,3,4,2013-03-03,2024-07-01,11.3,77700.0
Female,32,IT,Senior Analyst,2,2,2021-05-25,2024-07-01,3.1,50460.0
Female,23,Marketing,Analyst,0,4,2011-07-06,2024-07-01,13.0,57100.0
Male,38,IT,Analyst,9,3,2013-10-30,2024-07-01,10.7,63650.0
Male,41,Finance,Senior Analyst,4,2,2020-01-03,2024-07-01,4.5,57540.0
Female,35,Operations,Senior Analyst,0,4,2017-11-10,2024-07-01,6.6,59880.0
Female,53,Operations,Manager,0,5,2020-08-21,2024-07-01,3.9,82320.0
Female,55,Finance,Analyst,1,5,2020-12-09,2024-07-01,3.6,52400.0
Female,46,IT,Senior Analyst,3,4,2012-01-13,2024-07-01,12.5,76740.0
Male,28,Marketing,Analyst,5,2,2020-08-28,2024-07-01,3.8,45300.0
Female,56,Finance,Executive,7,4,2014-10-21,2024-07-01,9.7,85475.0
Male,50,IT,Senior Analyst,2,4,2014-08-01,2024-07-01,9.9,71820.0
Female,43,IT,Senior Analyst,0,3,2016-10-18,2024-07-01,7.7,61380.0
Male,34,Operations,Analyst,2,5,2019-04-14,2024-07-01,5.2,51600.0
Male,34,Sales,Senior Analyst,2,3,2015-04-02,2024-07-01,9.3,64500.0
Male,22,Marketing,Analyst,4,3,2016-01-12,2024-07-01,8.5,52150.0
Female,57,Operations,Analyst,3,4,2011-09-20,2024-07-01,12.8,66600.0
Female,25,Finance,Analyst,3,3,2020-10-15,2024-07-01,3.7,44550.0
Female,58,Finance,Senior Analyst,8,5,2013-11-08,2024-07-01,10.7,84780.0
Female,34,HR,Analyst,6,3,2013-10-25,2024-07-01,10.7,59850.0
Male,59,IT,Analyst,3,5,2019-06-29,2024-07-01,5.0,57300.0
Male,45,HR,Executive,2,3,2017-05-31,2024-07-01,7.1,68445.0
Female,40,Marketing,Analyst,5,5,2022-11-07,2024-07-01,1.6,50400.0
Male,22,Finance,Senior Analyst,2,3,2018-10-21,2024-07-01,5.7,55140.0
Female,59,Operations,Analyst,5,3,2018-10-03,2024-07-01,5.7,56350.0
Male,26,HR,Analyst,8,2,2020-04-06,2024-07-01,4.2,48500.0
Female,37,Finance,Manager,5,5,2010-06-25,2024-07-01,14.0,109440.0
Male,45,Finance,Analyst,3,5,2010-03-09,2024-07-01,14.3,68450.0
Female,48,Finance,Analyst,4,5,2019-05-16,2024-07-01,5.1,56250.0
Female,22,Sales,Senior Analyst,5,1,2017-10-22,2024-07-01,6.7,55740.0
Female,55,IT,Senior Analyst,2,3,2011-06-07,2024-07-01,13.1,76380.0
Male,57,Finance,Senior Analyst,7,5,2012-12-31,2024-07-01,11.5,84780.0
Female,25,IT,Analyst,3,1,2023-09-14,2024-07-01,0.8,36200.0
Female,21,IT,Analyst,7,2,2015-01-25,2024-07-01,9.4,54300.0
Female,32,HR,Manager,9,5,2014-04-02,2024-07-01,10.3,105360.0
Female,56,Sales,Senior Analyst,9,5,2023-02-12,2024-07-01,1.4,68760.0
Female,43,Operations,Senior Manager,2,1,2011-05-21,2024-07-01,13.1,103050.0
Female,51,Finance,Senior Manager,9,3,2012-05-12,2024-07-01,12.1,123030.0
Female,31,Sales,Senior Manager,6,2,2017-11-09,2024-07-01,6.6,91980.0
Female,30,Finance,Analyst,8,5,2015-02-14,2024-07-01,9.4,63100.0
Female,23,Finance,Analyst,3,3,2012-08-01,2024-07-01,11.9,56450.0
Male,34,IT,Manager,7,2,2019-08-29,2024-07-01,4.8,80000.0
Male,36,IT,Analyst,2,4,2019-04-29,2024-07-01,5.2,50000.0
Female,30,IT,Analyst,6,4,2016-11-02,2024-07-01,7.7,56550.0
Female,49,HR,Executive,2,2,2020-06-15,2024-07-01,4.0,60840.0
Female,30,IT,Executive,6,1,2010-12-13,2024-07-01,13.6,77220.0
Female,32,IT,Analyst,9,2,2011-09-17,2024-07-01,12.8,63600.0
Male,50,IT,Analyst,9,2,2018-05-18,2024-07-01,6.1,57150.0
Male,21,Operations,Analyst,5,1,2021-01-24,2024-07-01,3.4,41300.0
Female,25,IT,Senior Manager,1,1,2014-10-20,2024-07-01,9.7,85590.0
Male,40,HR,Executive,2,3,2021-06-07,2024-07-01,3.1,59345.0
Female,28,IT,Analyst,5,3,2011-10-10,2024-07-01,12.7,60650.0
Male,32,Finance,Analyst,3,1,2017-12-02,2024-07-01,6.6,46300.0
Female,21,IT,Executive,5,4,2017-09-03,2024-07-01,6.8,68120.0
Female,40,IT,Analyst,0,4,2020-09-21,2024-07-01,3.8,46700.0
Female,48,Finance,Senior Analyst,9,2,2012-04-01,2024-07-01,12.3,79260.0
Female,57,IT,Team Lead,0,5,2011-05-02,2024-07-01,13.2,92680.0
Male,57,IT,Analyst,2,2,2010-03-29,2024-07-01,14.3,63850.0
Female,32,IT,Senior Analyst,7,2,2018-04-01,2024-07-01,6.3,62220.0
Female,57,IT,Analyst,7,5,2019-02-25,2024-07-01,5.4,61500.0
Male,48,IT,Analyst,3,1,2012-12-18,2024-07-01,11.5,56850.0
Female,35,IT,Senior Manager,5,4,2019-04-23,2024-07-01,5.2,95040.0
Female,26,Marketing,Analyst,7,2,2019-04-06,2024-07-01,5.2,49000.0
Female,40,Finance,Team Lead,6,5,2021-07-27,2024-07-01,2.9,74690.0
Female,34,Finance,Senior Analyst,6,3,2023-05-21,2024-07-01,1.1,54540.0
Female,22,IT,Analyst,3,2,2017-03-31,2024-07-01,7.3,47350.0
Female,29,Operations,Analyst,8,4,2013-12-08,2024-07-01,10.6,62700.0
Female,57,IT,Analyst,9,1,2013-11-24,2024-07-01,10.6,63300.0
Female,40,IT,Analyst,5,2,2017-09-29,2024-07-01,6.8,52200.0
Male,46,Finance,Analyst,2,2,2012-08-23,2024-07-01,11.9,58050.0
Male,49,IT,Analyst,4,5,2021-11-25,2024-07-01,2.6,52700.0
Male,21,IT,Analyst,4,3,2017-11-06,2024-07-01,6.7,49250.0
Female,55,Finance,Manager,4,3,2019-04-20,2024-07-01,5.2,86080.0
Female,26,Operations,Senior Analyst,7,1,2013-12-05,2024-07-01,10.6,66120.0
Male,57,HR,Manager,8,4,2021-12-23,2024-07-01,2.5,89840.0
Female,25,Sales,Analyst,8,1,2022-04-18,2024-07-01,2.2,43300.0
Male,53,Operations,Analyst,5,2,2023-07-13,2024-07-01,1.0,46100.0
Female,34,IT,Senior Analyst,5,2,2014-08-26,2024-07-01,9.9,66780.0
Female,32,IT,Analyst,8,3,2019-06-29,2024-07-01,5.0,52900.0
Female,40,IT,Analyst,3,4,2016-01-19,2024-07-01,8.5,56750.0
Female,44,HR,Senior Manager,5,5,2018-10-09,2024-07-01,5.7,103230.0
Female,54,HR,Manager,3,4,2014-05-07,2024-07-01,10.2,99360.0
Male,45,Operations,Senior Analyst,0,2,2018-03-24,2024-07-01,6.3,56940.0
Male,49,Sales,Analyst,6,5,2012-04-18,2024-07-01,12.2,69100.0
Female,59,Finance,Manager,9,4,2012-09-17,2024-07-01,11.8,114400.0
Female,51,IT,Senior Analyst,5,4,2011-04-07,2024-07-01,13.2,81600.0
Female,43,Marketing,Manager,8,5,2018-06-29,2024-07-01,6.0,96960.0
Female,58,Operations,Manager,6,2,2017-09-07,2024-07-01,6.8,90880.0
Female,40,Marketing,Senior Manager,6,4,2022-12-23,2024-07-01,1.5,88650.0
Female,43,IT,Senior Analyst,1,5,2014-01-08,2024-07-01,10.5,72420.0
Female,36,Finance,Analyst,8,2,2012-08-02,2024-07-01,11.9,62050.0
Female,28,IT,Senior Analyst,9,5,2021-05-07,2024-07-01,3.2,65280.0
Male,41,IT,Senior Analyst,8,5,2018-11-19,2024-07-01,5.6,71520.0
Female,21,IT,Manager,5,4,2019-05-21,2024-07-01,5.1,79760.0
Male,28,Finance,Analyst,2,2,2019-03-17,2024-07-01,5.3,44550.0
Female,49,Sales,Analyst,0,4,2010-07-06,2024-07-01,14.0,63800.0
Female,52,IT,Executive,3,1,2022-07-15,2024-07-01,2.0,56420.0
Male,58,IT,Manager,2,1,2023-02-09,2024-07-01,1.4,68320.0
Female,25,HR,Executive,0,2,2019-04-05,2024-07-01,5.2,54340.0
Female,42,IT,Manager,2,5,2016-08-02,2024-07-01,7.9,91600.0
Male,54,IT,Senior Analyst,3,4,2015-09-04,2024-07-01,8.8,72000.0
Male,21,HR,Senior Analyst,7,4,2023-04-22,2024-07-01,1.2,55200.0
Female,46,Marketing,Executive,8,2,2022-05-03,2024-07-01,2.2,64350.0
Female,30,IT,Senior Analyst,2,2,2010-09-21,2024-07-01,13.8,69240.0
Female,50,IT,Senior Analyst,5,1,2010-02-04,2024-07-01,14.4,76320.0
Female,38,IT,Analyst,9,3,2014-03-27,2024-07-01,10.3,63050.0
Female,37,Operations,Analyst,4,2,2014-02-14,2024-07-01,10.4,56000.0
Female,46,Sales,Manager,5,3,2023-10-20,2024-07-01,0.7,74000.0
Female,28,Sales,Analyst,3,2,2015-06-13,2024-07-01,9.1,51250.0
Female,32,IT,Analyst,9,5,2021-10-29,2024-07-01,2.7,54450.0
Female,47,Finance,Analyst,5,5,2018-09-03,2024-07-01,5.8,58100.0
Male,28,IT,Analyst,6,1,2016-05-20,2024-07-01,8.1,50750.0
Male,45,Finance,Analyst,8,1,2013-10-27,2024-07-01,10.7,60050.0
Female,24,Operations,Analyst,9,3,2021-06-08,2024-07-01,3.1,49450.0
Female,53,Finance,Executive,6,2,2012-11-26,2024-07-01,11.6,81900.0
Female,21,Operations,Senior Analyst,5,4,2014-12-04,2024-07-01,9.6,67920.0
Male,39,Sales,Analyst,0,1,2018-07-01,2024-07-01,6.0,43800.0
Male,51,IT,Analyst,1,4,2015-03-13,2024-07-01,9.3,58150.0
Male,36,Operations,Senior Analyst,0,4,2010-10-12,2024-07-01,13.7,72900.0
Male,34,IT,Analyst,8,2,2012-10-18,2024-07-01,11.7,61350.0
Female,25,Finance,Senior Manager,9,3,2020-11-18,2024-07-01,3.6,90720.0
Male,46,IT,Senior Analyst,9,2,2021-05-17,2024-07-01,3.1,62220.0
Female,48,IT,Manager,8,1,2021-09-21,2024-07-01,2.8,78080.0
Female,22,HR,Analyst,6,4,2010-09-12,2024-07-01,13.8,64100.0
Male,26,IT,Senior Analyst,1,2,2022-12-08,2024-07-01,1.6,45120.0
Female,29,HR,Analyst,5,2,2013-11-02,2024-07-01,10.7,55850.0
Female,53,Finance,Executive,3,2,2015-01-18,2024-07-01,9.5,73905.0
Male,45,IT,Senior Analyst,0,1,2017-12-07,2024-07-01,6.6,55080.0
Female,33,IT,Analyst,0,3,2016-08-30,2024-07-01,7.8,49300.0
Female,29,Finance,Analyst,4,2,2021-02-24,2024-07-01,3.4,43900.0
Female,33,IT,Analyst,1,1,2016-06-28,2024-07-01,8.0,46600.0
Male,51,Sales,Senior Analyst,3,4,2017-05-03,2024-07-01,7.2,68400.0
Female,31,Sales,Analyst,0,5,2021-12-13,2024-07-01,2.6,45100.0
Female,24,Marketing,Senior Analyst,3,1,2018-08-06,2024-07-01,5.9,52380.0
Male,54,Sales,Analyst,5,5,2015-11-30,2024-07-01,8.6,63700.0
Female,58,HR,Senior Analyst,9,2,2014-07-12,2024-07-01,10.0,77520.0
Female,24,Sales,Senior Manager,3,2,2013-09-30,2024-07-01,10.8,95400.0
Female,58,IT,Manager,0,1,2010-05-10,2024-07-01,14.2,95840.0
Male,39,IT,Manager,6,5,2018-10-11,2024-07-01,5.7,91760.0
Female,26,Marketing,Analyst,1,2,2020-05-25,2024-07-01,4.1,41350.0
Male,54,HR,Analyst,8,4,2017-07-16,2024-07-01,7.0,62300.0
Male,38,Marketing,Senior Analyst,2,3,2012-10-08,2024-07-01,11.7,69780.0
Male,33,Marketing,Analyst,7,3,2011-09-26,2024-07-01,12.8,63800.0
Male,43,Operations,Analyst,7,2,2019-05-16,2024-07-01,5.1,52250.0
Male,39,Operations,Analyst,2,5,2022-04-28,2024-07-01,2.2,48100.0
Male,31,HR,Analyst,3,2,2019-01-12,2024-07-01,5.5,46450.0
Female,21,IT,Analyst,1,5,2013-01-05,2024-07-01,11.5,57450.0
Male,44,Finance,Executive,3,4,2021-12-07,2024-07-01,2.6,63310.0
Male,27,IT,Analyst,8,5,2017-08-21,2024-07-01,6.9,58750.0
Female,45,Finance,Senior Analyst,1,2,2012-07-18,2024-07-01,12.0,68400.0
Female,41,Sales,Analyst,2,4,2016-11-12,2024-07-01,7.6,54600.0
Female,35,Sales,Senior Analyst,3,1,2019-01-22,2024-07-01,5.4,54120.0
Male,21,IT,Analyst,4,3,2015-10-23,2024-07-01,8.7,52250.0
Male,32,IT,Executive,0,2,2010-06-16,2024-07-01,14.1,73515.0
Male,27,HR,Executive,6,2,2012-03-22,2024-07-01,12.3,76505.0
Male,35,IT,Analyst,9,2,2014-08-12,2024-07-01,9.9,59850.0
Male,41,Operations,Executive,6,4,2015-08-08,2024-07-01,8.9,78715.0
Male,39,IT,Team Lead,8,1,2018-03-31,2024-07-01,6.3,73150.0
Male,49,IT,Senior Manager,3,5,2020-03-18,2024-07-01,4.3,97650.0
Male,45,IT,Senior Manager,5,1,2010-04-09,2024-07-01,14.2,112140.0
Female,53,Finance,Analyst,1,4,2011-02-12,2024-07-01,13.4,64700.0
Male,52,Finance,Senior Analyst,3,2,2018-09-06,2024-07-01,5.8,61320.0
Male,55,IT,Analyst,1,3,2018-09-24,2024-07-01,5.8,51700.0
Female,58,IT,Analyst,9,2,2021-08-27,2024-07-01,2.8,53800.0
Female,46,HR,Team Lead,4,5,2018-07-27,2024-07-01,5.9,79870.0
Male,31,IT,Analyst,6,3,2014-01-25,2024-07-01,10.4,58800.0
Female,55,Sales,Manager,0,2,2015-06-27,2024-07-01,9.0,85600.0
Female,28,Finance,Senior Manager,9,3,2019-04-26,2024-07-01,5.2,96120.0
Male,34,IT,Executive,9,1,2012-05-23,2024-07-01,12.1,79235.0
Female,30,IT,Team Lead,6,4,2011-04-16,2024-07-01,13.2,90720.0
Female,22,Operations,Analyst,9,2,2020-12-12,2024-07-01,3.6,47800.0
Male,29,HR,Analyst,5,5,2017-04-15,2024-07-01,7.2,56600.0
Male,23,Sales,Analyst,5,1,2015-04-05,2024-07-01,9.2,50400.0
Female,41,IT,Analyst,7,2,2021-12-08,2024-07-01,2.6,48100.0
Female,46,HR,Analyst,7,1,2023-05-24,2024-07-01,1.1,44850.0
Male,28,IT,Analyst,5,5,2016-08-21,2024-07-01,7.9,57450.0
Male,22,Finance,Manager,2,2,2021-01-17,2024-07-01,3.5,65040.0
Male,26,Operations,Senior Analyst,4,5,2019-11-14,2024-07-01,4.6,61320.0
Female,48,IT,Analyst,1,3,2014-12-10,2024-07-01,9.6,56000.0
Female,49,IT,Senior Analyst,4,5,2013-05-31,2024-07-01,11.1,78540.0
Male,46,IT,Analyst,8,3,2020-05-24,2024-07-01,4.1,54350.0
Female,45,IT,Analyst,9,2,2014-07-29,2024-07-01,9.9,61850.0
Female,32,IT,Manager,0,3,2016-01-13,2024-07-01,8.5,80240.0
Male,25,IT,Senior Analyst,9,2,2020-03-29,2024-07-01,4.3,59340.0
Male,54,Marketing,Manager,4,2,2013-10-01,2024-07-01,10.8,96000.0
Female,57,HR,Analyst,5,4,2021-03-10,2024-07-01,3.3,54350.0
Female,35,IT,Senior Manager,6,2,2023-05-04,2024-07-01,1.2,78840.0
Female,56,Operations,Senior Analyst,8,3,2019-10-31,2024-07-01,4.7,68700.0
Female,35,IT,Senior Analyst,5,4,2022-03-12,2024-07-01,2.3,58140.0
Male,43,Operations,Senior Analyst,4,4,2016-07-04,2024-07-01,8.0,69120.0
Female,26,IT,Executive,6,2,2014-03-09,2024-07-01,10.3,72345.0
Female,41,Operations,Senior Analyst,0,5,2012-02-24,2024-07-01,12.4,74160.0
Male,43,Finance,Senior Analyst,4,5,2010-10-14,2024-07-01,13.7,81780.0
Male,36,Marketing,Team Lead,1,4,2012-06-22,2024-07-01,12.0,82880.0
Male,35,Operations,Manager,3,2,2019-05-25,2024-07-01,5.1,74640.0
Male,45,IT,Analyst,6,5,2010-08-07,2024-07-01,13.9,70850.0
Male,56,Operations,Manager,4,2,2010-09-23,2024-07-01,13.8,103840.0
Male,31,IT,Analyst,5,2,2023-04-24,2024-07-01,1.2,42000.0
Male,35,IT,Analyst,1,4,2023-08-06,2024-07-01,0.9,42350.0
Male,24,IT,Senior Analyst,2,4,2021-05-13,2024-07-01,3.1,53340.0
Female,41,Finance,Executive,6,1,2011-10-17,2024-07-01,12.7,78325.0
Female,33,IT,Executive,1,5,2011-08-08,2024-07-01,12.9,80535.0
Female,42,Finance,Analyst,5,5,2019-02-23,2024-07-01,5.4,56500.0
Female,39,Finance,Senior Analyst,4,5,2010-11-18,2024-07-01,13.6,80640.0
Female,54,Marketing,Analyst,9,3,2016-03-05,2024-07-01,8.3,63250.0
Male,34,Marketing,Team Lead,0,2,2013-09-12,2024-07-01,10.8,72800.0
Female,24,HR,Team Lead,9,4,2014-03-31,2024-07-01,10.3,87150.0
Female,47,IT,Senior Analyst,3,5,2011-03-29,2024-07-01,13.3,80820.0
Female,49,IT,Senior Manager,1,1,2019-11-25,2024-07-01,4.6,80460.0
Female,48,IT,Manager,3,5,2018-03-26,2024-07-01,6.3,91280.0
Male,55,IT,Senior Analyst,0,2,2016-06-02,2024-07-01,8.1,62580.0
Male,28,IT,Analyst,1,2,2022-01-10,2024-07-01,2.5,39350.0
Male,36,IT,Analyst,7,4,2013-07-23,2024-07-01,10.9,63550.0
Female,56,Operations,Senior Analyst,5,3,2023-02-12,2024-07-01,1.4,59160.0
Female,50,Finance,Senior Analyst,1,4,2010-03-17,2024-07-01,14.3,78540.0
Male,38,IT,Analyst,5,5,2019-08-17,2024-07-01,4.9,54950.0
Female,22,Finance,Executive,9,1,2018-11-20,2024-07-01,5.6,63440.0
Female,33,IT,Analyst,8,4,2023-07-31,2024-07-01,0.9,48950.0
Male,24,HR,Senior Analyst,6,3,2017-03-03,2024-07-01,7.3,63300.0
Male,46,Finance,Senior Analyst,8,4,2010-12-23,2024-07-01,13.5,84540.0
Male,45,HR,Senior Analyst,4,2,2011-12-08,2024-07-01,12.6,73080.0
Male,50,HR,Senior Analyst,6,5,2016-03-12,2024-07-01,8.3,76140.0
Male,31,Operations,Analyst,6,5,2023-05-25,2024-07-01,1.1,48850.0
Male,27,Operations,Analyst,2,5,2017-05-24,2024-07-01,7.1,53050.0
Male,51,Finance,Senior Analyst,6,5,2014-05-14,2024-07-01,10.1,79620.0
Male,30,Finance,Senior Analyst,0,5,2011-12-30,2024-07-01,12.5,71700.0
Female,59,Finance,Analyst,8,5,2017-04-18,2024-07-01,7.2,65600.0
Male,33,IT,Manager,9,1,2022-11-30,2024-07-01,1.6,72000.0
Female,51,IT,Analyst,5,3,2012-04-10,2024-07-01,12.2,64500.0
